date,home_team,away_team,home_goals,away_goals,reason
2022-12-09,Brazil,Croatia,0,0,World Cup score source includes extra-time goals
2022-12-18,Argentina,France,2,2,World Cup score source includes extra-time goals
2024-06-30,England,Slovakia,1,1,Euro score source includes extra-time goals
2024-07-05,Spain,Germany,1,1,Euro score source includes extra-time goals
2024-07-14,Argentina,Colombia,0,0,Copa America score source includes extra-time goal
