group,team_id
A,MEX
A,RSA
A,KOR
A,CZE
B,CAN
B,BIH
B,QAT
B,SUI
C,BRA
C,MAR
C,HAI
C,SCO
D,USA
D,PAR
D,AUS
D,TUR
E,GER
E,CUW
E,CIV
E,ECU
F,NED
F,JPN
F,SWE
F,TUN
G,BEL
G,EGY
G,IRN
G,NZL
H,ESP
H,CPV
H,KSA
H,URU
I,FRA
I,SEN
I,IRQ
I,NOR
J,ARG
J,ALG
J,AUT
J,JOR
K,POR
K,COD
K,UZB
K,COL
L,ENG
L,CRO
L,GHA
L,PAN
