qualified_third_groups,match_id,third_group
B-C-F-H-I-J-K-L,M85,J
B-C-F-H-I-J-K-L,M87,L
B-C-F-G-I-J-K-L,M74,C
B-C-F-G-I-J-K-L,M77,F
B-C-F-G-I-J-K-L,M79,I
B-C-F-G-I-J-K-L,M80,K
B-C-F-G-I-J-K-L,M81,B
B-C-F-G-I-J-K-L,M82,J
B-C-F-G-I-J-K-L,M85,G
B-C-F-G-I-J-K-L,M87,L
B-C-F-G-H-J-K-L,M74,C
B-C-F-G-H-J-K-L,M77,F
B-C-F-G-H-J-K-L,M79,H
B-C-F-G-H-J-K-L,M80,K
B-C-F-G-H-J-K-L,M81,B
B-C-F-G-H-J-K-L,M82,J
B-C-F-G-H-J-K-L,M85,G
B-C-F-G-H-J-K-L,M87,L
B-C-F-G-H-I-K-L,M74,C
B-C-F-G-H-I-K-L,M77,F
B-C-F-G-H-I-K-L,M79,H
B-C-F-G-H-I-K-L,M80,K
B-C-F-G-H-I-K-L,M81,B
B-C-F-G-H-I-K-L,M82,I
B-C-F-G-H-I-K-L,M85,G
B-C-F-G-H-I-K-L,M87,L
B-C-F-G-H-I-J-L,M74,C
B-C-F-G-H-I-J-L,M77,F
B-C-F-G-H-I-J-L,M79,H
B-C-F-G-H-I-J-L,M80,I
B-C-F-G-H-I-J-L,M81,B
B-C-F-G-H-I-J-L,M82,J
B-C-F-G-H-I-J-L,M85,G
B-C-F-G-H-I-J-L,M87,L
B-C-F-G-H-I-J-K,M74,C
B-C-F-G-H-I-J-K,M77,F
B-C-F-G-H-I-J-K,M79,H
B-C-F-G-H-I-J-K,M80,K
B-C-F-G-H-I-J-K,M81,B
B-C-F-G-H-I-J-K,M82,J
B-C-F-G-H-I-J-K,M85,G
B-C-F-G-H-I-J-K,M87,I
B-C-E-H-I-J-K-L,M74,C
B-C-E-H-I-J-K-L,M77,H
B-C-E-H-I-J-K-L,M79,E
B-C-E-H-I-J-K-L,M80,K
B-C-E-H-I-J-K-L,M81,B
B-C-E-H-I-J-K-L,M82,I
B-C-E-H-I-J-K-L,M85,J
B-C-E-H-I-J-K-L,M87,L
B-C-E-G-I-J-K-L,M74,C
B-C-E-G-I-J-K-L,M77,G
B-C-E-G-I-J-K-L,M79,E
B-C-E-G-I-J-K-L,M80,K
B-C-E-G-I-J-K-L,M81,B
B-C-E-G-I-J-K-L,M82,I
B-C-E-G-I-J-K-L,M85,J
B-C-E-G-I-J-K-L,M87,L
B-C-E-G-H-J-K-L,M74,C
B-C-E-G-H-J-K-L,M77,G
B-C-E-G-H-J-K-L,M79,E
B-C-E-G-H-J-K-L,M80,K
B-C-E-G-H-J-K-L,M81,B
B-C-E-G-H-J-K-L,M82,H
B-C-E-G-H-J-K-L,M85,J
B-C-E-G-H-J-K-L,M87,L
B-C-E-G-H-I-K-L,M74,C
B-C-E-G-H-I-K-L,M77,H
B-C-E-G-H-I-K-L,M79,E
B-C-E-G-H-I-K-L,M80,K
B-C-E-G-H-I-K-L,M81,B
B-C-E-G-H-I-K-L,M82,I
B-C-E-G-H-I-K-L,M85,G
B-C-E-G-H-I-K-L,M87,L
B-C-E-G-H-I-J-L,M74,C
B-C-E-G-H-I-J-L,M77,G
B-C-E-G-H-I-J-L,M79,E
B-C-E-G-H-I-J-L,M80,I
B-C-E-G-H-I-J-L,M81,B
B-C-E-G-H-I-J-L,M82,H
B-C-E-G-H-I-J-L,M85,J
B-C-E-G-H-I-J-L,M87,L
B-C-E-G-H-I-J-K,M74,C
B-C-E-G-H-I-J-K,M77,G
B-C-E-G-H-I-J-K,M79,E
B-C-E-G-H-I-J-K,M80,K
B-C-E-G-H-I-J-K,M81,B
B-C-E-G-H-I-J-K,M82,H
B-C-E-G-H-I-J-K,M85,J
B-C-E-G-H-I-J-K,M87,I
B-C-E-F-I-J-K-L,M74,C
B-C-E-F-I-J-K-L,M77,F
B-C-E-F-I-J-K-L,M79,E
B-C-E-F-I-J-K-L,M80,K
B-C-E-F-I-J-K-L,M81,B
B-C-E-F-I-J-K-L,M82,I
B-C-E-F-I-J-K-L,M85,J
B-C-E-F-I-J-K-L,M87,L
B-C-E-F-H-J-K-L,M74,C
B-C-E-F-H-J-K-L,M77,F
B-C-E-F-H-J-K-L,M79,E
B-C-E-F-H-J-K-L,M80,K
B-C-E-F-H-J-K-L,M81,B
B-C-E-F-H-J-K-L,M82,H
B-C-E-F-H-J-K-L,M85,J
B-C-E-F-H-J-K-L,M87,L
B-C-E-F-H-I-K-L,M74,C
B-C-E-F-H-I-K-L,M77,F
B-C-E-F-H-I-K-L,M79,E
B-C-E-F-H-I-K-L,M80,K
B-C-E-F-H-I-K-L,M81,B
B-C-E-F-H-I-K-L,M82,H
B-C-E-F-H-I-K-L,M85,I
B-C-E-F-H-I-K-L,M87,L
B-C-E-F-H-I-J-L,M74,C
B-C-E-F-H-I-J-L,M77,F
B-C-E-F-H-I-J-L,M79,E
B-C-E-F-H-I-J-L,M80,I
B-C-E-F-H-I-J-L,M81,B
B-C-E-F-H-I-J-L,M82,H
B-C-E-F-H-I-J-L,M85,J
B-C-E-F-H-I-J-L,M87,L
B-C-E-F-H-I-J-K,M74,C
B-C-E-F-H-I-J-K,M77,F
B-C-E-F-H-I-J-K,M79,E
B-C-E-F-H-I-J-K,M80,K
B-C-E-F-H-I-J-K,M81,B
B-C-E-F-H-I-J-K,M82,H
B-C-E-F-H-I-J-K,M85,J
B-C-E-F-H-I-J-K,M87,I
B-C-E-F-G-J-K-L,M74,C
B-C-E-F-G-J-K-L,M77,F
B-C-E-F-G-J-K-L,M79,E
B-C-E-F-G-J-K-L,M80,K
B-C-E-F-G-J-K-L,M81,B
B-C-E-F-G-J-K-L,M82,J
B-C-E-F-G-J-K-L,M85,G
B-C-E-F-G-J-K-L,M87,L
B-C-E-F-G-I-K-L,M74,C
B-C-E-F-G-I-K-L,M77,F
B-C-E-F-G-I-K-L,M79,E
B-C-E-F-G-I-K-L,M80,K
B-C-E-F-G-I-K-L,M81,B
B-C-E-F-G-I-K-L,M82,I
B-C-E-F-G-I-K-L,M85,G
B-C-E-F-G-I-K-L,M87,L
B-C-E-F-G-I-J-L,M74,C
B-C-E-F-G-I-J-L,M77,F
B-C-E-F-G-I-J-L,M79,E
B-C-E-F-G-I-J-L,M80,I
B-C-E-F-G-I-J-L,M81,B
B-C-E-F-G-I-J-L,M82,J
B-C-E-F-G-I-J-L,M85,G
B-C-E-F-G-I-J-L,M87,L
B-C-E-F-G-I-J-K,M74,C
B-C-E-F-G-I-J-K,M77,F
B-C-E-F-G-I-J-K,M79,E
B-C-E-F-G-I-J-K,M80,K
B-C-E-F-G-I-J-K,M81,B
B-C-E-F-G-I-J-K,M82,J
B-C-E-F-G-I-J-K,M85,G
B-C-E-F-G-I-J-K,M87,I
B-C-E-F-G-H-K-L,M74,C
B-C-E-F-G-H-K-L,M77,F
B-C-E-F-G-H-K-L,M79,E
B-C-E-F-G-H-K-L,M80,K
B-C-E-F-G-H-K-L,M81,B
B-C-E-F-G-H-K-L,M82,H
B-C-E-F-G-H-K-L,M85,G
B-C-E-F-G-H-K-L,M87,L
B-C-E-F-G-H-J-L,M74,C
B-C-E-F-G-H-J-L,M77,F
B-C-E-F-G-H-J-L,M79,H
B-C-E-F-G-H-J-L,M80,E
B-C-E-F-G-H-J-L,M81,B
B-C-E-F-G-H-J-L,M82,J
B-C-E-F-G-H-J-L,M85,G
B-C-E-F-G-H-J-L,M87,L
B-C-E-F-G-H-J-K,M74,C
B-C-E-F-G-H-J-K,M77,F
B-C-E-F-G-H-J-K,M79,H
B-C-E-F-G-H-J-K,M80,K
B-C-E-F-G-H-J-K,M81,B
B-C-E-F-G-H-J-K,M82,J
B-C-E-F-G-H-J-K,M85,G
B-C-E-F-G-H-J-K,M87,E
B-C-E-F-G-H-I-L,M74,C
B-C-E-F-G-H-I-L,M77,F
B-C-E-F-G-H-I-L,M79,E
B-C-E-F-G-H-I-L,M80,I
B-C-E-F-G-H-I-L,M81,B
B-C-E-F-G-H-I-L,M82,H
B-C-E-F-G-H-I-L,M85,G
B-C-E-F-G-H-I-L,M87,L
B-C-E-F-G-H-I-K,M74,C
B-C-E-F-G-H-I-K,M77,F
B-C-E-F-G-H-I-K,M79,E
B-C-E-F-G-H-I-K,M80,K
B-C-E-F-G-H-I-K,M81,B
B-C-E-F-G-H-I-K,M82,H
B-C-E-F-G-H-I-K,M85,G
B-C-E-F-G-H-I-K,M87,I
B-C-E-F-G-H-I-J,M74,C
B-C-E-F-G-H-I-J,M77,F
B-C-E-F-G-H-I-J,M79,H
B-C-E-F-G-H-I-J,M80,I
B-C-E-F-G-H-I-J,M81,B
B-C-E-F-G-H-I-J,M82,J
B-C-E-F-G-H-I-J,M85,G
B-C-E-F-G-H-I-J,M87,E
B-C-D-H-I-J-K-L,M74,C
B-C-D-H-I-J-K-L,M77,D
B-C-D-H-I-J-K-L,M79,H
B-C-D-H-I-J-K-L,M80,K
B-C-D-H-I-J-K-L,M81,B
B-C-D-H-I-J-K-L,M82,I
B-C-D-H-I-J-K-L,M85,J
B-C-D-H-I-J-K-L,M87,L
B-C-D-G-I-J-K-L,M74,C
B-C-D-G-I-J-K-L,M77,D
B-C-D-G-I-J-K-L,M79,I
B-C-D-G-I-J-K-L,M80,K
B-C-D-G-I-J-K-L,M81,B
B-C-D-G-I-J-K-L,M82,J
B-C-D-G-I-J-K-L,M85,G
B-C-D-G-I-J-K-L,M87,L
B-C-D-G-H-J-K-L,M74,C
B-C-D-G-H-J-K-L,M77,D
B-C-D-G-H-J-K-L,M79,H
B-C-D-G-H-J-K-L,M80,K
B-C-D-G-H-J-K-L,M81,B
B-C-D-G-H-J-K-L,M82,J
B-C-D-G-H-J-K-L,M85,G
B-C-D-G-H-J-K-L,M87,L
B-C-D-G-H-I-K-L,M74,C
B-C-D-G-H-I-K-L,M77,D
B-C-D-G-H-I-K-L,M79,H
B-C-D-G-H-I-K-L,M80,K
B-C-D-G-H-I-K-L,M81,B
B-C-D-G-H-I-K-L,M82,I
B-C-D-G-H-I-K-L,M85,G
B-C-D-G-H-I-K-L,M87,L
B-C-D-G-H-I-J-L,M74,C
B-C-D-G-H-I-J-L,M77,D
B-C-D-G-H-I-J-L,M79,H
B-C-D-G-H-I-J-L,M80,I
B-C-D-G-H-I-J-L,M81,B
B-C-D-G-H-I-J-L,M82,J
B-C-D-G-H-I-J-L,M85,G
B-C-D-G-H-I-J-L,M87,L
B-C-D-G-H-I-J-K,M74,C
B-C-D-G-H-I-J-K,M77,D
B-C-D-G-H-I-J-K,M79,H
B-C-D-G-H-I-J-K,M80,K
B-C-D-G-H-I-J-K,M81,B
B-C-D-G-H-I-J-K,M82,J
B-C-D-G-H-I-J-K,M85,G
B-C-D-G-H-I-J-K,M87,I
B-C-D-F-I-J-K-L,M74,D
B-C-D-F-I-J-K-L,M77,F
B-C-D-F-I-J-K-L,M79,C
B-C-D-F-I-J-K-L,M80,K
B-C-D-F-I-J-K-L,M81,B
B-C-D-F-I-J-K-L,M82,I
B-C-D-F-I-J-K-L,M85,J
B-C-D-F-I-J-K-L,M87,L
B-C-D-F-H-J-K-L,M74,D
B-C-D-F-H-J-K-L,M77,F
B-C-D-F-H-J-K-L,M79,C
B-C-D-F-H-J-K-L,M80,K
B-C-D-F-H-J-K-L,M81,B
B-C-D-F-H-J-K-L,M82,H
B-C-D-F-H-J-K-L,M85,J
B-C-D-F-H-J-K-L,M87,L
B-C-D-F-H-I-K-L,M74,D
B-C-D-F-H-I-K-L,M77,F
B-C-D-F-H-I-K-L,M79,C
B-C-D-F-H-I-K-L,M80,K
B-C-D-F-H-I-K-L,M81,B
B-C-D-F-H-I-K-L,M82,H
B-C-D-F-H-I-K-L,M85,I
B-C-D-F-H-I-K-L,M87,L
B-C-D-F-H-I-J-L,M74,D
B-C-D-F-H-I-J-L,M77,F
B-C-D-F-H-I-J-L,M79,C
B-C-D-F-H-I-J-L,M80,I
B-C-D-F-H-I-J-L,M81,B
B-C-D-F-H-I-J-L,M82,H
B-C-D-F-H-I-J-L,M85,J
B-C-D-F-H-I-J-L,M87,L
B-C-D-F-H-I-J-K,M74,D
B-C-D-F-H-I-J-K,M77,F
B-C-D-F-H-I-J-K,M79,C
B-C-D-F-H-I-J-K,M80,K
B-C-D-F-H-I-J-K,M81,B
B-C-D-F-H-I-J-K,M82,H
B-C-D-F-H-I-J-K,M85,J
B-C-D-F-H-I-J-K,M87,I
B-C-D-F-G-J-K-L,M74,D
B-C-D-F-G-J-K-L,M77,F
B-C-D-F-G-J-K-L,M79,C
B-C-D-F-G-J-K-L,M80,K
B-C-D-F-G-J-K-L,M81,B
B-C-D-F-G-J-K-L,M82,J
B-C-D-F-G-J-K-L,M85,G
B-C-D-F-G-J-K-L,M87,L
B-C-D-F-G-I-K-L,M74,D
B-C-D-F-G-I-K-L,M77,F
B-C-D-F-G-I-K-L,M79,C
B-C-D-F-G-I-K-L,M80,K
B-C-D-F-G-I-K-L,M81,B
B-C-D-F-G-I-K-L,M82,I
B-C-D-F-G-I-K-L,M85,G
B-C-D-F-G-I-K-L,M87,L
B-C-D-F-G-I-J-L,M74,D
B-C-D-F-G-I-J-L,M77,F
B-C-D-F-G-I-J-L,M79,C
B-C-D-F-G-I-J-L,M80,I
B-C-D-F-G-I-J-L,M81,B
B-C-D-F-G-I-J-L,M82,J
B-C-D-F-G-I-J-L,M85,G
B-C-D-F-G-I-J-L,M87,L
B-C-D-F-G-I-J-K,M74,D
B-C-D-F-G-I-J-K,M77,F
B-C-D-F-G-I-J-K,M79,C
B-C-D-F-G-I-J-K,M80,K
B-C-D-F-G-I-J-K,M81,B
B-C-D-F-G-I-J-K,M82,J
B-C-D-F-G-I-J-K,M85,G
B-C-D-F-G-I-J-K,M87,I
B-C-D-F-G-H-K-L,M74,D
B-C-D-F-G-H-K-L,M77,F
B-C-D-F-G-H-K-L,M79,C
B-C-D-F-G-H-K-L,M80,K
B-C-D-F-G-H-K-L,M81,B
B-C-D-F-G-H-K-L,M82,H
B-C-D-F-G-H-K-L,M85,G
B-C-D-F-G-H-K-L,M87,L
B-C-D-F-G-H-J-L,M74,D
B-C-D-F-G-H-J-L,M77,F
B-C-D-F-G-H-J-L,M79,C
B-C-D-F-G-H-J-L,M80,J
B-C-D-F-G-H-J-L,M81,B
B-C-D-F-G-H-J-L,M82,H
B-C-D-F-G-H-J-L,M85,G
B-C-D-F-G-H-J-L,M87,L
B-C-D-F-G-H-J-K,M74,C
B-C-D-F-G-H-J-K,M77,F
B-C-D-F-G-H-J-K,M79,H
B-C-D-F-G-H-J-K,M80,K
B-C-D-F-G-H-J-K,M81,B
B-C-D-F-G-H-J-K,M82,J
B-C-D-F-G-H-J-K,M85,G
B-C-D-F-G-H-J-K,M87,D
B-C-D-F-G-H-I-L,M74,D
B-C-D-F-G-H-I-L,M77,F
B-C-D-F-G-H-I-L,M79,C
B-C-D-F-G-H-I-L,M80,I
B-C-D-F-G-H-I-L,M81,B
B-C-D-F-G-H-I-L,M82,H
B-C-D-F-G-H-I-L,M85,G
B-C-D-F-G-H-I-L,M87,L
B-C-D-F-G-H-I-K,M74,D
B-C-D-F-G-H-I-K,M77,F
B-C-D-F-G-H-I-K,M79,C
B-C-D-F-G-H-I-K,M80,K
B-C-D-F-G-H-I-K,M81,B
B-C-D-F-G-H-I-K,M82,H
B-C-D-F-G-H-I-K,M85,G
B-C-D-F-G-H-I-K,M87,I
B-C-D-F-G-H-I-J,M74,C
B-C-D-F-G-H-I-J,M77,F
B-C-D-F-G-H-I-J,M79,H
B-C-D-F-G-H-I-J,M80,I
B-C-D-F-G-H-I-J,M81,B
B-C-D-F-G-H-I-J,M82,J
B-C-D-F-G-H-I-J,M85,G
B-C-D-F-G-H-I-J,M87,D
B-C-D-E-I-J-K-L,M74,C
B-C-D-E-I-J-K-L,M77,D
B-C-D-E-I-J-K-L,M79,E
B-C-D-E-I-J-K-L,M80,K
B-C-D-E-I-J-K-L,M81,B
B-C-D-E-I-J-K-L,M82,I
B-C-D-E-I-J-K-L,M85,J
B-C-D-E-I-J-K-L,M87,L
B-C-D-E-H-J-K-L,M74,C
B-C-D-E-H-J-K-L,M77,D
B-C-D-E-H-J-K-L,M79,E
B-C-D-E-H-J-K-L,M80,K
B-C-D-E-H-J-K-L,M81,B
B-C-D-E-H-J-K-L,M82,H
B-C-D-E-H-J-K-L,M85,J
B-C-D-E-H-J-K-L,M87,L
B-C-D-E-H-I-K-L,M74,C
B-C-D-E-H-I-K-L,M77,D
B-C-D-E-H-I-K-L,M79,E
B-C-D-E-H-I-K-L,M80,K
B-C-D-E-H-I-K-L,M81,B
B-C-D-E-H-I-K-L,M82,H
B-C-D-E-H-I-K-L,M85,I
B-C-D-E-H-I-K-L,M87,L
B-C-D-E-H-I-J-L,M74,C
B-C-D-E-H-I-J-L,M77,D
B-C-D-E-H-I-J-L,M79,E
B-C-D-E-H-I-J-L,M80,I
B-C-D-E-H-I-J-L,M81,B
B-C-D-E-H-I-J-L,M82,H
B-C-D-E-H-I-J-L,M85,J
B-C-D-E-H-I-J-L,M87,L
B-C-D-E-H-I-J-K,M74,C
B-C-D-E-H-I-J-K,M77,D
B-C-D-E-H-I-J-K,M79,E
B-C-D-E-H-I-J-K,M80,K
B-C-D-E-H-I-J-K,M81,B
B-C-D-E-H-I-J-K,M82,H
B-C-D-E-H-I-J-K,M85,J
B-C-D-E-H-I-J-K,M87,I
B-C-D-E-G-J-K-L,M74,C
B-C-D-E-G-J-K-L,M77,D
B-C-D-E-G-J-K-L,M79,E
B-C-D-E-G-J-K-L,M80,K
B-C-D-E-G-J-K-L,M81,B
B-C-D-E-G-J-K-L,M82,J
B-C-D-E-G-J-K-L,M85,G
B-C-D-E-G-J-K-L,M87,L
B-C-D-E-G-I-K-L,M74,C
B-C-D-E-G-I-K-L,M77,D
B-C-D-E-G-I-K-L,M79,E
B-C-D-E-G-I-K-L,M80,K
B-C-D-E-G-I-K-L,M81,B
B-C-D-E-G-I-K-L,M82,I
B-C-D-E-G-I-K-L,M85,G
B-C-D-E-G-I-K-L,M87,L
B-C-D-E-G-I-J-L,M74,C
B-C-D-E-G-I-J-L,M77,D
B-C-D-E-G-I-J-L,M79,E
B-C-D-E-G-I-J-L,M80,I
B-C-D-E-G-I-J-L,M81,B
B-C-D-E-G-I-J-L,M82,J
B-C-D-E-G-I-J-L,M85,G
B-C-D-E-G-I-J-L,M87,L
B-C-D-E-G-I-J-K,M74,C
B-C-D-E-G-I-J-K,M77,D
B-C-D-E-G-I-J-K,M79,E
B-C-D-E-G-I-J-K,M80,K
B-C-D-E-G-I-J-K,M81,B
B-C-D-E-G-I-J-K,M82,J
B-C-D-E-G-I-J-K,M85,G
B-C-D-E-G-I-J-K,M87,I
B-C-D-E-G-H-K-L,M74,C
B-C-D-E-G-H-K-L,M77,D
B-C-D-E-G-H-K-L,M79,E
B-C-D-E-G-H-K-L,M80,K
B-C-D-E-G-H-K-L,M81,B
B-C-D-E-G-H-K-L,M82,H
B-C-D-E-G-H-K-L,M85,G
B-C-D-E-G-H-K-L,M87,L
B-C-D-E-G-H-J-L,M74,C
B-C-D-E-G-H-J-L,M77,D
B-C-D-E-G-H-J-L,M79,H
B-C-D-E-G-H-J-L,M80,E
B-C-D-E-G-H-J-L,M81,B
B-C-D-E-G-H-J-L,M82,J
B-C-D-E-G-H-J-L,M85,G
B-C-D-E-G-H-J-L,M87,L
B-C-D-E-G-H-J-K,M74,C
B-C-D-E-G-H-J-K,M77,D
B-C-D-E-G-H-J-K,M79,H
B-C-D-E-G-H-J-K,M80,K
B-C-D-E-G-H-J-K,M81,B
B-C-D-E-G-H-J-K,M82,J
B-C-D-E-G-H-J-K,M85,G
B-C-D-E-G-H-J-K,M87,E
B-C-D-E-G-H-I-L,M74,C
B-C-D-E-G-H-I-L,M77,D
B-C-D-E-G-H-I-L,M79,E
B-C-D-E-G-H-I-L,M80,I
B-C-D-E-G-H-I-L,M81,B
B-C-D-E-G-H-I-L,M82,H
B-C-D-E-G-H-I-L,M85,G
B-C-D-E-G-H-I-L,M87,L
B-C-D-E-G-H-I-K,M74,C
B-C-D-E-G-H-I-K,M77,D
B-C-D-E-G-H-I-K,M79,E
B-C-D-E-G-H-I-K,M80,K
B-C-D-E-G-H-I-K,M81,B
B-C-D-E-G-H-I-K,M82,H
B-C-D-E-G-H-I-K,M85,G
B-C-D-E-G-H-I-K,M87,I
B-C-D-E-G-H-I-J,M74,C
B-C-D-E-G-H-I-J,M77,D
B-C-D-E-G-H-I-J,M79,H
B-C-D-E-G-H-I-J,M80,I
B-C-D-E-G-H-I-J,M81,B
B-C-D-E-G-H-I-J,M82,J
B-C-D-E-G-H-I-J,M85,G
B-C-D-E-G-H-I-J,M87,E
B-C-D-E-F-J-K-L,M74,D
B-C-D-E-F-J-K-L,M77,F
B-C-D-E-F-J-K-L,M79,C
B-C-D-E-F-J-K-L,M80,K
B-C-D-E-F-J-K-L,M81,B
B-C-D-E-F-J-K-L,M82,E
B-C-D-E-F-J-K-L,M85,J
B-C-D-E-F-J-K-L,M87,L
B-C-D-E-F-I-K-L,M74,D
B-C-D-E-F-I-K-L,M77,F
B-C-D-E-F-I-K-L,M79,C
B-C-D-E-F-I-K-L,M80,K
B-C-D-E-F-I-K-L,M81,B
B-C-D-E-F-I-K-L,M82,I
B-C-D-E-F-I-K-L,M85,E
B-C-D-E-F-I-K-L,M87,L
B-C-D-E-F-I-J-L,M74,D
B-C-D-E-F-I-J-L,M77,F
B-C-D-E-F-I-J-L,M79,C
B-C-D-E-F-I-J-L,M80,I
B-C-D-E-F-I-J-L,M81,B
B-C-D-E-F-I-J-L,M82,E
B-C-D-E-F-I-J-L,M85,J
B-C-D-E-F-I-J-L,M87,L
B-C-D-E-F-I-J-K,M74,D
B-C-D-E-F-I-J-K,M77,F
B-C-D-E-F-I-J-K,M79,C
B-C-D-E-F-I-J-K,M80,K
B-C-D-E-F-I-J-K,M81,B
B-C-D-E-F-I-J-K,M82,E
B-C-D-E-F-I-J-K,M85,J
B-C-D-E-F-I-J-K,M87,I
B-C-D-E-F-H-K-L,M74,D
B-C-D-E-F-H-K-L,M77,F
B-C-D-E-F-H-K-L,M79,C
B-C-D-E-F-H-K-L,M80,K
B-C-D-E-F-H-K-L,M81,B
B-C-D-E-F-H-K-L,M82,H
B-C-D-E-F-H-K-L,M85,E
B-C-D-E-F-H-K-L,M87,L
B-C-D-E-F-H-J-L,M74,D
B-C-D-E-F-H-J-L,M77,F
B-C-D-E-F-H-J-L,M79,C
B-C-D-E-F-H-J-L,M80,E
B-C-D-E-F-H-J-L,M81,B
B-C-D-E-F-H-J-L,M82,H
B-C-D-E-F-H-J-L,M85,J
B-C-D-E-F-H-J-L,M87,L
B-C-D-E-F-H-J-K,M74,D
B-C-D-E-F-H-J-K,M77,F
B-C-D-E-F-H-J-K,M79,C
B-C-D-E-F-H-J-K,M80,K
B-C-D-E-F-H-J-K,M81,B
B-C-D-E-F-H-J-K,M82,H
B-C-D-E-F-H-J-K,M85,J
B-C-D-E-F-H-J-K,M87,E
B-C-D-E-F-H-I-L,M74,D
B-C-D-E-F-H-I-L,M77,F
B-C-D-E-F-H-I-L,M79,C
B-C-D-E-F-H-I-L,M80,I
B-C-D-E-F-H-I-L,M81,B
B-C-D-E-F-H-I-L,M82,H
B-C-D-E-F-H-I-L,M85,E
B-C-D-E-F-H-I-L,M87,L
B-C-D-E-F-H-I-K,M74,D
B-C-D-E-F-H-I-K,M77,F
B-C-D-E-F-H-I-K,M79,C
B-C-D-E-F-H-I-K,M80,K
B-C-D-E-F-H-I-K,M81,B
B-C-D-E-F-H-I-K,M82,H
B-C-D-E-F-H-I-K,M85,E
B-C-D-E-F-H-I-K,M87,I
B-C-D-E-F-H-I-J,M74,D
B-C-D-E-F-H-I-J,M77,F
B-C-D-E-F-H-I-J,M79,C
B-C-D-E-F-H-I-J,M80,I
B-C-D-E-F-H-I-J,M81,B
B-C-D-E-F-H-I-J,M82,H
B-C-D-E-F-H-I-J,M85,J
B-C-D-E-F-H-I-J,M87,E
B-C-D-E-F-G-K-L,M74,D
B-C-D-E-F-G-K-L,M77,F
B-C-D-E-F-G-K-L,M79,C
B-C-D-E-F-G-K-L,M80,K
B-C-D-E-F-G-K-L,M81,B
B-C-D-E-F-G-K-L,M82,E
B-C-D-E-F-G-K-L,M85,G
B-C-D-E-F-G-K-L,M87,L
B-C-D-E-F-G-J-L,M74,D
B-C-D-E-F-G-J-L,M77,F
B-C-D-E-F-G-J-L,M79,C
B-C-D-E-F-G-J-L,M80,E
B-C-D-E-F-G-J-L,M81,B
B-C-D-E-F-G-J-L,M82,J
B-C-D-E-F-G-J-L,M85,G
B-C-D-E-F-G-J-L,M87,L
B-C-D-E-F-G-J-K,M74,D
B-C-D-E-F-G-J-K,M77,F
B-C-D-E-F-G-J-K,M79,C
B-C-D-E-F-G-J-K,M80,K
B-C-D-E-F-G-J-K,M81,B
B-C-D-E-F-G-J-K,M82,J
B-C-D-E-F-G-J-K,M85,G
B-C-D-E-F-G-J-K,M87,E
B-C-D-E-F-G-I-L,M74,D
B-C-D-E-F-G-I-L,M77,F
B-C-D-E-F-G-I-L,M79,C
B-C-D-E-F-G-I-L,M80,I
B-C-D-E-F-G-I-L,M81,B
B-C-D-E-F-G-I-L,M82,E
B-C-D-E-F-G-I-L,M85,G
B-C-D-E-F-G-I-L,M87,L
B-C-D-E-F-G-I-K,M74,D
B-C-D-E-F-G-I-K,M77,F
B-C-D-E-F-G-I-K,M79,C
B-C-D-E-F-G-I-K,M80,K
B-C-D-E-F-G-I-K,M81,B
B-C-D-E-F-G-I-K,M82,E
B-C-D-E-F-G-I-K,M85,G
B-C-D-E-F-G-I-K,M87,I
B-C-D-E-F-G-I-J,M74,D
B-C-D-E-F-G-I-J,M77,F
B-C-D-E-F-G-I-J,M79,C
B-C-D-E-F-G-I-J,M80,I
B-C-D-E-F-G-I-J,M81,B
B-C-D-E-F-G-I-J,M82,J
B-C-D-E-F-G-I-J,M85,G
B-C-D-E-F-G-I-J,M87,E
B-C-D-E-F-G-H-L,M74,D
B-C-D-E-F-G-H-L,M77,F
B-C-D-E-F-G-H-L,M79,C
B-C-D-E-F-G-H-L,M80,E
B-C-D-E-F-G-H-L,M81,B
B-C-D-E-F-G-H-L,M82,H
B-C-D-E-F-G-H-L,M85,G
B-C-D-E-F-G-H-L,M87,L
B-C-D-E-F-G-H-K,M74,D
B-C-D-E-F-G-H-K,M77,F
B-C-D-E-F-G-H-K,M79,C
B-C-D-E-F-G-H-K,M80,K
B-C-D-E-F-G-H-K,M81,B
B-C-D-E-F-G-H-K,M82,H
B-C-D-E-F-G-H-K,M85,G
B-C-D-E-F-G-H-K,M87,E
B-C-D-E-F-G-H-J,M74,C
B-C-D-E-F-G-H-J,M77,F
B-C-D-E-F-G-H-J,M79,H
B-C-D-E-F-G-H-J,M80,E
B-C-D-E-F-G-H-J,M81,B
B-C-D-E-F-G-H-J,M82,J
B-C-D-E-F-G-H-J,M85,G
B-C-D-E-F-G-H-J,M87,D
B-C-D-E-F-G-H-I,M74,D
B-C-D-E-F-G-H-I,M77,F
B-C-D-E-F-G-H-I,M79,C
B-C-D-E-F-G-H-I,M80,I
B-C-D-E-F-G-H-I,M81,B
B-C-D-E-F-G-H-I,M82,H
B-C-D-E-F-G-H-I,M85,G
B-C-D-E-F-G-H-I,M87,E
A-F-G-H-I-J-K-L,M74,F
A-F-G-H-I-J-K-L,M77,G
A-F-G-H-I-J-K-L,M79,H
A-F-G-H-I-J-K-L,M80,K
A-F-G-H-I-J-K-L,M81,I
A-F-G-H-I-J-K-L,M82,A
A-F-G-H-I-J-K-L,M85,J
