qualified_third_groups,match_id,third_group
C-D-F-H-I-J-K-L,M87,L
C-D-F-G-I-J-K-L,M74,D
C-D-F-G-I-J-K-L,M77,F
C-D-F-G-I-J-K-L,M79,C
C-D-F-G-I-J-K-L,M80,K
C-D-F-G-I-J-K-L,M81,I
C-D-F-G-I-J-K-L,M82,J
C-D-F-G-I-J-K-L,M85,G
C-D-F-G-I-J-K-L,M87,L
C-D-F-G-H-J-K-L,M74,D
C-D-F-G-H-J-K-L,M77,F
C-D-F-G-H-J-K-L,M79,C
C-D-F-G-H-J-K-L,M80,K
C-D-F-G-H-J-K-L,M81,J
C-D-F-G-H-J-K-L,M82,H
C-D-F-G-H-J-K-L,M85,G
C-D-F-G-H-J-K-L,M87,L
C-D-F-G-H-I-K-L,M74,D
C-D-F-G-H-I-K-L,M77,F
C-D-F-G-H-I-K-L,M79,C
C-D-F-G-H-I-K-L,M80,K
C-D-F-G-H-I-K-L,M81,I
C-D-F-G-H-I-K-L,M82,H
C-D-F-G-H-I-K-L,M85,G
C-D-F-G-H-I-K-L,M87,L
C-D-F-G-H-I-J-L,M74,D
C-D-F-G-H-I-J-L,M77,F
C-D-F-G-H-I-J-L,M79,C
C-D-F-G-H-I-J-L,M80,I
C-D-F-G-H-I-J-L,M81,J
C-D-F-G-H-I-J-L,M82,H
C-D-F-G-H-I-J-L,M85,G
C-D-F-G-H-I-J-L,M87,L
C-D-F-G-H-I-J-K,M74,D
C-D-F-G-H-I-J-K,M77,F
C-D-F-G-H-I-J-K,M79,C
C-D-F-G-H-I-J-K,M80,K
C-D-F-G-H-I-J-K,M81,J
C-D-F-G-H-I-J-K,M82,H
C-D-F-G-H-I-J-K,M85,G
C-D-F-G-H-I-J-K,M87,I
C-D-E-H-I-J-K-L,M74,C
C-D-E-H-I-J-K-L,M77,D
C-D-E-H-I-J-K-L,M79,E
C-D-E-H-I-J-K-L,M80,K
C-D-E-H-I-J-K-L,M81,I
C-D-E-H-I-J-K-L,M82,H
C-D-E-H-I-J-K-L,M85,J
C-D-E-H-I-J-K-L,M87,L
C-D-E-G-I-J-K-L,M74,C
C-D-E-G-I-J-K-L,M77,D
C-D-E-G-I-J-K-L,M79,E
C-D-E-G-I-J-K-L,M80,K
C-D-E-G-I-J-K-L,M81,I
C-D-E-G-I-J-K-L,M82,J
C-D-E-G-I-J-K-L,M85,G
C-D-E-G-I-J-K-L,M87,L
C-D-E-G-H-J-K-L,M74,C
C-D-E-G-H-J-K-L,M77,D
C-D-E-G-H-J-K-L,M79,E
C-D-E-G-H-J-K-L,M80,K
C-D-E-G-H-J-K-L,M81,J
C-D-E-G-H-J-K-L,M82,H
C-D-E-G-H-J-K-L,M85,G
C-D-E-G-H-J-K-L,M87,L
C-D-E-G-H-I-K-L,M74,C
C-D-E-G-H-I-K-L,M77,D
C-D-E-G-H-I-K-L,M79,E
C-D-E-G-H-I-K-L,M80,K
C-D-E-G-H-I-K-L,M81,I
C-D-E-G-H-I-K-L,M82,H
C-D-E-G-H-I-K-L,M85,G
C-D-E-G-H-I-K-L,M87,L
C-D-E-G-H-I-J-L,M74,C
C-D-E-G-H-I-J-L,M77,D
C-D-E-G-H-I-J-L,M79,E
C-D-E-G-H-I-J-L,M80,I
C-D-E-G-H-I-J-L,M81,J
C-D-E-G-H-I-J-L,M82,H
C-D-E-G-H-I-J-L,M85,G
C-D-E-G-H-I-J-L,M87,L
C-D-E-G-H-I-J-K,M74,C
C-D-E-G-H-I-J-K,M77,D
C-D-E-G-H-I-J-K,M79,E
C-D-E-G-H-I-J-K,M80,K
C-D-E-G-H-I-J-K,M81,J
C-D-E-G-H-I-J-K,M82,H
C-D-E-G-H-I-J-K,M85,G
C-D-E-G-H-I-J-K,M87,I
C-D-E-F-I-J-K-L,M74,D
C-D-E-F-I-J-K-L,M77,F
C-D-E-F-I-J-K-L,M79,C
C-D-E-F-I-J-K-L,M80,K
C-D-E-F-I-J-K-L,M81,E
C-D-E-F-I-J-K-L,M82,I
C-D-E-F-I-J-K-L,M85,J
C-D-E-F-I-J-K-L,M87,L
C-D-E-F-H-J-K-L,M74,D
C-D-E-F-H-J-K-L,M77,F
C-D-E-F-H-J-K-L,M79,C
C-D-E-F-H-J-K-L,M80,K
C-D-E-F-H-J-K-L,M81,E
C-D-E-F-H-J-K-L,M82,H
C-D-E-F-H-J-K-L,M85,J
C-D-E-F-H-J-K-L,M87,L
C-D-E-F-H-I-K-L,M74,D
C-D-E-F-H-I-K-L,M77,F
C-D-E-F-H-I-K-L,M79,C
C-D-E-F-H-I-K-L,M80,K
C-D-E-F-H-I-K-L,M81,I
C-D-E-F-H-I-K-L,M82,H
C-D-E-F-H-I-K-L,M85,E
C-D-E-F-H-I-K-L,M87,L
C-D-E-F-H-I-J-L,M74,D
C-D-E-F-H-I-J-L,M77,F
C-D-E-F-H-I-J-L,M79,C
C-D-E-F-H-I-J-L,M80,I
C-D-E-F-H-I-J-L,M81,E
C-D-E-F-H-I-J-L,M82,H
C-D-E-F-H-I-J-L,M85,J
C-D-E-F-H-I-J-L,M87,L
C-D-E-F-H-I-J-K,M74,D
C-D-E-F-H-I-J-K,M77,F
